Protein1 Protein2 SitePairCount
Q71DI3 Q99880 10
P05787 Q04695 9
P62805 Q71DI3 7
P05783 P05787 5
Q71DI3 Q99878 4
P00338 P07195 3
P12956 P13010 3
P15880 P46781 3
P23528 P60709 3
P35232 Q99623 3
P36578 Q02543 3
P46779 P62910 3
P62805 Q99880 3
P05787 P08729 2
P06899 P0C0S5 2
P08729 Q04695 2
P09493 Q562R1 2
P09496 Q00610 2
P14618 Q14118 2
P16403 Q71DI3 2
P23396 P60866 2
P26373 Q9Y3U8 2
P26641 P29692 2
P48643 P78371 2
P60709 P62328 2
P60709 P63313 2
P60709 P68032 2
P62424 Q9Y3U8 2
Q13885 Q9BQE3 2
Q15651 Q71DI3 2
Q15651 Q99880 2
Q16777 Q71DI3 2
Q99880 Q9BTM1 2
