Protein1 Protein2 SitePairCount STRING_CombinedScore
Q71DI3 Q99880 10 0.942
P05787 Q04695 9 0.579
P62805 Q71DI3 7 0.999
P05783 P05787 5 0.999
Q71DI3 Q99878 4 0.964
P12956 P13010 3 0.999
P15880 P46781 3 0.999
P23528 P60709 3 0.999
P35232 Q99623 3 0.999
P36578 Q02543 3 0.999
P46779 P62910 3 0.999
P62805 Q99880 3 0.936
P05787 P08729 2 0.746
P06899 P0C0S5 2 0.983
P08729 Q04695 2 0.472
P09493 Q562R1 2 0.33
P09496 Q00610 2 0.999
P16403 Q71DI3 2 0.574
P23396 P60866 2 0.999
P26373 Q9Y3U8 2 0.999
P26641 P29692 2 0.999
P48643 P78371 2 0.999
P60709 P62328 2 0.961
P60709 P63313 2 0.581
P60709 P68032 2 0.914
P62424 Q9Y3U8 2 0.999
Q13885 Q9BQE3 2 0.99
Q16777 Q71DI3 2 0.999
Q99880 Q9BTM1 2 0.687
