Protein1 Protein2 SitePairCount STRING_CombinedScore HasHomologousPDB
P00338 P07195 3 NA Yes
P14618 Q14118 2 NA No
Q15651 Q71DI3 2 NA No
Q15651 Q99880 2 NA No
